_id,PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
3160211,324821831,23176482,6,2023-11-06T15:11:00,"6200 Block Penn Ave Pittsburgh, PA 15206",Y,East Liberty,5,RETSIL THEFT (SHOPLIFTING),"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise / 5104 Resisting Arrest or Other Law Enforcement. / 5505 Public Drunkenness / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING",1115,8,2,-79.92259331496999,40.46013933681722
3160212,324271122,23171752,10,2023-10-28T22:28:00,"1700 Block E Carson St Pittsburgh, PA 15203",N,South Side Flats,3,SIMPLE ASSAULT,2701 Simple Assault.,1702,3,3,-79.98187231372171,40.42859317552536
3160213,324936298,23177206,18,2023-11-07T19:17:00,"5th Ave & Van Braam St Pittsburgh, PA 15219",Y,Bluff,2,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession,103,6,3,-79.98260774609798,40.43845025480589
3160214,324267162,23172137,14,2023-10-29T14:57:00,"1400 Block Oakridge St Pittsburgh, PA 15226",N,Brookline,6,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 907 Possessing Instruments of Crime.,1918,4,5,-80.00837234702641,40.39125805543961
3160215,324267577,23172160,14,2023-10-29T15:21:00,"100 Block Art Rooney Ave Pittsburgh, CA 15212",Y,North Shore,1,INJURY/TAMP/FIRE APP-HYD-ETC,3503(b)(1)(ii) Defiant Trespass Notice Posted by Sign(s),2205,1,6,-80.01577932158622,40.44678403083185
3160216,324267855,23172188,99,2023-10-29T16:00:00,"1400 Block Washington Blvd Pittsburgh, PA 15206",N,Highland Park,5,LOST PROPERTY,9504 Lost Property,1106,9,2,-79.90861667551917,40.470305633259095
3160217,322901903,23160579,6,2023-10-09T08:00:00,"3300 Block Mc Clure Ave Pittsburgh, PA 15212",N,Brighton Heights,1,THEFT FROM AUTO,3934 Theft from Vehicle / 3934 Theft from Vehicle,2703,1,1,-80.03620219555998,40.4757725354699
3160218,324322512,23172464,10,2023-10-30T07:10:00,"7000 Block Kelly St Pittsburgh, PA 15208",N,Homewood South,5,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1303,9,2,-79.90181463020195,40.4566120541176
3160219,324346163,23172635,27,2023-10-29T19:00:00,"Frankstown Ave & N Homewood Ave Pittsburgh, PA 15208",N,Homewood North,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1302,9,2,-79.89630114868066,40.457404658847054
3160220,324355347,23172691,17,2023-10-30T07:40:00,Zone 1,N,,1,SEXUAL ABUSE OF CHILDREN,6312 Sexual Abuse of Children.,,,,,
3160221,324361662,23172714,13,2023-10-30T17:00:00,"400 Block Gilmore Ave Trafford, PA 15085",N,Outside County,OSC,RECEIVING STOLEN PROPERTY,3925 Receiving Stolen Property. / 9094 Recovered Stolen Vehicle (OUTSIDE CITY),6699,,,,
3160222,324368396,23172812,10,2023-10-30T20:41:00,"10 Block Cannon St Pittsburgh, PA 15205",N,Oakwood,6,TERRORISTIC THREATS,2706 Terroristic Threats.,2812,2,5,-80.06678141346175,40.42789184959178
3160223,324370933,23172841,99,2023-10-30T22:25:00,"100 Block N Craig St Pittsburgh, PA 15213",Y,North Oakland,4,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,404,,,-79.87838242783407,40.44332100326034
3160224,324376766,23172906,99,2023-10-31T01:48:00,"2900 Block N Charles St Pittsburgh, PA 15214",N,Perry South,1,MENTAL 201/302,9498 302 (Mental),2615,6,1,-80.01118366075582,40.470507697797274
3160225,324378912,23172920,99,2023-10-31T03:03:00,"200 Block S Highland Ave Pittsburgh, PA 15232",Y,Shadyside,4,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,705,8,2,-79.92529613194029,40.45875585891225
3160226,324392793,23172967,99,2023-10-31T07:29:00,"30 Block S 14th St Pittsburgh, PA 15203",N,South Side Flats,3,FOUND PROPERTY,9489 Found Property,1702,3,3,-79.98430568173151,40.42909424061503
3160227,324228216,23170727,6,2023-10-27T09:00:00,"Burrows St & Terrace St Pittsburgh, PA 15213",N,West Oakland,4,THEFT FROM AUTO,3934 Theft from Vehicle / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,402,6,3,-79.96673126180417,40.44016247620544
3160228,324230973,23171428,99,2023-10-28T11:35:00,"60 Block S 25th St Pittsburgh, PA 15203",N,South Side Flats,3,FOUND PROPERTY,9489 Found Property,1609,3,3,-79.96979967647438,40.42842265930933
3160229,324235152,23171512,6,2023-10-28T13:49:00,"1700 Block 5th Ave Pittsburgh, PA 15219",N,Crawford-Roberts,2,THEFT FROM AUTO,3934 Theft from Vehicle / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,305,6,3,-79.98248339028213,40.43829758092047
3160230,324236333,23171543,0,2023-10-28T15:25:00,"100 Block Rhine Pl Pittsburgh, PA 15212",Y,Spring Hill-City View,1,99,9999 9999 - (Misc. Incident): Property Dispute,2620,1,1,-79.99204184514898,40.46535964895462
3160231,324238350,23171584,6,2023-10-27T09:30:00,"1800 Block Chessland St Pittsburgh, PA 15205",N,Terrace Village,6,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,511,2,5,-80.05528248143624,40.43064699760371
3160232,324239841,23171610,6,2023-10-28T17:40:00,"600 Block S Highland Ave Pittsburgh, PA 15232",N,Shadyside,4,THEFT FROM AUTO,3934 Theft from Vehicle,706,8,2,-79.92461968812952,40.452280636395145
3160233,324240463,23171627,6,2023-10-28T12:40:00,"3300 Block Forbes Ave Pittsburgh, PA 15213",N,South Oakland,4,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,409,3,3,-79.96308127263389,40.437129458761135
3160234,322926998,23160694,6,2023-10-09T16:37:00,"5400 Block Walnut St Pittsburgh, PA 15232",N,Shadyside,4,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,703,8,2,-79.93546843810113,40.450646430444735
3160235,322927355,23160711,0,2023-10-09T17:13:00,"5500 Block Centre Ave Pittsburgh, PA 15232",N,Shadyside,4,99,9999 9999 - (Misc. Incident): Dispute,709,8,2,-79.93645164728059,40.45657066874426
3160236,322935848,23160873,99,2023-10-10T00:31:00,"500 Block East Ohio St Pittsburgh, PA 15212",Y,East Allegheny,1,MISSING PERSONS (18+),9490 Missing Persons (18 and Over),2304,1,1,-80.0005722777536,40.453500256542384
3160237,323249943,23162658,6,2023-10-13T07:45:00,"100 Block Wynoka St Pittsburgh, PA 15210",Y,Carrick,3,THEFT FROM AUTO,3934 Theft from Vehicle,2902,4,3,-79.98914161266443,40.405310705151216
3160238,323373701,23164123,10,2023-10-15T22:15:00,"1000 Block 5th Ave Pittsburgh, PA 15219",Y,Central Business District,2,RESIST ARREST/OTHER LAW ENFORC,"5104 Resisting Arrest or Other Law Enforcement. / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 5505 Public Drunkenness / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING",201,6,3,-79.99083372929813,40.43862969649749
3160239,323396177,23164367,6,2023-10-16T12:00:00,"1300 Block Rescue St Pittsburgh, PA 15212",N,Spring Hill-City View,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 4106 Access Device Fraud / 3925 Receiving Stolen Property.,2620,1,1,-79.9922192121857,40.46678330030244
3160240,323458677,23164815,6,2023-10-17T01:51:00,"7300 Block Susquehanna St Pittsburgh, PA 15208",N,Homewood South,5,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1303,9,2,-79.89643684009889,40.4529830128931
3160241,323507308,23165089,10,2023-10-17T17:05:00,"East Ohio St & Nash St Pittsburgh, PA 15212",Y,East Allegheny,1,RESIST ARREST/OTHER LAW ENFORC,5104 Resisting Arrest or Other Law Enforcement. / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant,2304,1,1,-79.99823159790749,40.45389459365243
3160242,324835175,23176519,14,2023-11-06T14:15:00,"James St & Dunloe Ave Pittsburgh, PA 15212",N,Central North Side,1,CRIM MISCHIEF,3304 Criminal Mischief.,2206,1,1,-80.00202342493581,40.45781641588135
3160243,324842383,23176740,0,2023-11-06T23:37:00,"3100 Block Chartiers Ave Pittsburgh, PA 15204",N,Sheraden,6,99,8106 Shots Fired,2022,2,5,-80.0611043000205,40.45387229670828
3160244,324870515,23176911,10,2023-11-05T15:00:00,"20 Block Maytide St Pittsburgh, PA 15227",Y,Carrick,3,HARRASSMENT,2709(a) Harassment. / 2709.A2 HARASSMENT - FOLLOW IN PUBLIC PLACE,2904,4,3,-79.98407819344023,40.384675596751926
3160245,324905388,23177012,0,2023-11-07T13:30:00,"400 Block Moore Ave Pittsburgh, PA 15210",N,Knoxville,3,99,9994 PFA Service,3001,3,5,-79.99515278572079,40.412006039524705
3160246,324274802,23172302,18,2023-10-29T20:50:00,"2000 Block Wyandotte St Pittsburgh, PA 15219",Y,Crawford-Roberts,2,STOLEN PROPERTY,13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant,305,6,3,-79.97759790381808,40.43826361769635
3160247,323878739,23168503,99,2023-10-23T16:56:00,"500 Block North Shore Dr Pittsburgh, PA 15233",N,North Shore,1,AIDED CASE,9497 Aided Case,2205,,,,
3160248,324571775,23174140,0,2023-11-02T08:25:00,"Vensel Way & Embury St Pittsburgh, PA 15212",Y,Marshall-Shadeland,1,99,9999 9999 - (Misc. Incident): Dispatch deer,2715,1,1,-80.0291225817028,40.472916290077876
3160249,324937448,23177260,6,2023-11-07T20:20:00,"4500 Block Minerva St Pittsburgh, PA 15224",N,Bloomfield,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,802,7,2,-79.95370387704328,40.46072873091626
3160250,324743806,23175119,10,2023-10-30T06:00:00,"60 Block Cortina Way Pittsburgh, PA 15234",N,Overbrook,3,SIMPLE ASSAULT,2701 Simple Assault.,3207,,,,
3160251,324941175,23177263,14,2023-11-07T21:10:00,"2100 Block Wylie Ave Pittsburgh, PA 15219",Y,Middle Hill,2,CRIM MISCHIEF,3304 Criminal Mischief.,501,6,3,-79.97924749008516,40.444890276742065
3160252,322901778,23160577,0,2023-10-09T12:55:00,"400 Block Dinwiddie St Pittsburgh, PA 15219",N,Crawford-Roberts,2,99,9999 9999 - (Misc. Incident): ,305,6,3,-79.98047008611852,40.44238512636865
3160253,-3712002520,23173047,5,2023-10-31T09:00:00,"7500 Block Bennett St Pittsburgh, PA 15208",N,Homewood South,5,BURGLARY,3502 Burglary. / 3304 Criminal Mischief.,1304,9,2,-79.89220741554816,40.45528382554382
3160254,324414962,23173011,6,2023-10-31T09:39:00,"500 Block N Taylor Ave Pittsburgh, PA 15212",Y,Central North Side,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3925 Receiving Stolen Property. / 13(a)(31) Marijuana: Possession Small Amount / 1501 Drivers Required to be Licensed.,2206,1,1,-80.01233900798712,40.45657467249231
3160255,324428291,23173065,99,2023-10-27T10:48:00,"2600 Block Perrysville Br Pittsburgh, PA 15214",N,Perry South,1,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),2615,6,1,-80.00847539788961,40.47114638432227
3160256,324444812,23173236,27,2023-10-31T16:35:00,"Kirkwood St & Centre Ave Pittsburgh, PA 15206",N,East Liberty,5,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1115,9,2,-79.92235785872315,40.46122401801522
3160257,324446568,23173281,0,2023-10-31T10:45:00,"Forward Ave & Commercial St Pittsburgh, PA 15218",Y,Squirrel Hill South,4,99,9999 9999 - (Misc. Incident): ,1408,5,3,-79.9058099276368,40.427660095667775
3160258,324462017,23173492,11,2023-11-01T02:10:00,"100 Block Poplargrove St Pittsburgh, PA 15210",N,Carrick,3,IDENTITY THEFT,4120 Identity Theft,2902,4,3,-79.98645852836628,40.39616848744541
3160259,324479284,23168265,6,2023-10-21T01:48:00,"1800 Block Bentley Dr Pittsburgh, PA 15219",Y,Middle Hill,2,THEFT,3921 Theft by Unlawful Taking or Disposition.,501,6,3,-79.97407657843345,40.44081639092915
3160260,324485311,23173603,6,2023-10-31T16:00:00,"Beatty Sq & Commerce St Pittsburgh, PA 15206",N,East Liberty,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,1115,9,2,-79.92769988938458,40.45969430480338
3160261,323096817,23161613,6,2023-10-11T12:11:00,"200 Block 5th Ave Pittsburgh, PA 15222",Y,Central Business District,2,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,201,6,6,-80.00207710815553,40.44123639882767
3160262,323251969,23162673,10,2023-10-13T09:10:00,"3800 Block California Ave Pittsburgh, PA 15212",Y,Brighton Heights,1,RESIST ARREST/OTHER LAW ENFORC,5104 Resisting Arrest or Other Law Enforcement. / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,2701,1,1,-80.04050288261874,40.484416473502755
3160263,323833812,23168246,14,2023-10-23T00:05:00,"2100 Block Sidney St Pittsburgh, PA 15203",Y,South Side Flats,3,CRIM MISCHIEF,3304 Criminal Mischief.,1609,3,3,-79.97600225882421,40.429240215096364
3160264,323837106,23168277,0,2023-10-23T10:34:00,"Penelope St Pittsburgh, PA 15211",N,Mount Washington,3,99,9999 9999 - (Misc. Incident): ,1914,2,5,-80.01209155115629,40.42359200181227
3160265,323848069,23168282,6,2023-10-23T10:42:00,"300 Block Cedar Ave Pittsburgh, PA 15212",Y,East Allegheny,1,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,2304,1,1,-80.00090780760613,40.450893557101246
3160266,323914534,23168826,29,2023-10-24T08:30:00,"1400 Block Chicago St Pittsburgh, PA 15214",N,Northview Heights,1,RUNAWAYS - JUVENILE,029 Missing Juvenile,2609,,,,
3160267,324240711,23171643,6,2023-10-28T17:30:00,"Point State Park Pittsburgh, PA 15222",N,Central Oakland,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,405,,,NaN,NaN
3160268,-3708000706,23171706,10,2023-10-28T20:45:00,"3600 Block Forbes Ave Pittsburgh, PA 15213",Y,Central Oakland,4,HARRASSMENT,2709 Harassment (Non-Specific),405,3,3,-79.95744380996236,40.44027243912023
3160269,324247646,23171741,6,2023-10-28T21:30:00,"1800 Block Centre Ave Pittsburgh, PA 15219",N,Crawford-Roberts,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,305,6,3,-79.98322028048247,40.44221488797809
3160270,324247763,23171653,0,2023-10-28T19:03:00,"2000 Block Victoria St Arnold, PA 15068",N,Outside County,OSC,99,8104 CLASS 1 - Suspicious Package or Device,6699,,,,
3160271,323888619,23168676,6,2023-10-23T21:00:00,"2500 Block Allequippa St Pittsburgh, PA 15213",N,West Oakland,4,THEFT FROM AUTO,3934 Theft from Vehicle / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,402,6,3,-79.96771373707432,40.44112611443261
3160272,323888722,23168656,0,2023-10-23T20:35:00,"Merwyn Ave & Narcissus Ave Pittsburgh, PA 15204",N,Sheraden,6,99,8106 Shots Fired,2018,2,5,-80.04993252321972,40.454951593292755
3160273,-3646531307,23168809,0,2023-10-24T07:52:00,"300 Block Fingal St Pittsburgh, PA 15211",N,Duquesne Heights,3,99,9999 9999 - (Misc. Incident): ,1911,2,5,-80.02737396376385,40.43897765638003
3160274,324206030,23171073,29,2023-10-27T20:10:00,"200 Block Devilliers St Pittsburgh, PA 15219",N,Central Business District,2,RUNAWAYS - JUVENILE,029 Missing Juvenile,201,,,,
3160275,324216547,23171330,14,2023-10-28T05:32:00,"1300 Block Paulson Ave Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,CRIM MISCHIEF,3304 Criminal Mischief.,1203,9,2,-79.90116533720962,40.468626799403125
3160276,324293343,23172442,14,2023-10-30T05:30:00,"1200 Block 5th Ave Pittsburgh, PA 15219",N,Bluff,2,CRIM MISCHIEF,3304 Criminal Mischief.,103,6,3,-79.98845370374711,40.43869325691536
3160277,324417127,23173107,0,2023-10-31T11:00:00,"3400 Block Webster Ave Pittsburgh, PA 15219",N,Upper Hill,2,99,9993 PFA Service with Weapons Supplement,506,6,3,-79.9616500933705,40.45485487361505
3160278,324930766,23177154,26,2023-11-07T17:46:00,"300 Block Linnview Ave Pittsburgh, PA 15210",Y,Carrick,3,CONCEALING DEATH BASTARD CHILD,4303 General Lighting Requirements. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 627.02(b)(i) Possessing a small amount of marijuana,2902,4,3,-79.98446684310788,40.40367764721117
3160279,323590984,23165798,99,2023-10-18T21:01:00,"1500 Block Hatteras St Pittsburgh, PA 15212",N,Troy Hill,1,AIDED CASE,9497 Aided Case,2406,1,1,-79.98564876213783,40.46213958869441
3160280,-3708000571,23166295,27,2023-10-19T08:00:00,"2100 Block Shady Ave Pittsburgh, PA 15217",N,Squirrel Hill South,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1408,5,3,-79.91875216350888,40.434323372826974
3160281,323662532,23166281,20,2023-10-19T17:28:00,"2700 Block Zephyr Pittsburgh, PA 15204",Y,Sheraden,6,ENDANGER WELFARE OF CHILDREN,4304(a)(1) Endangering Welfare of Children.,2018,2,5,-80.0493591472425,40.453029252331625
3160282,323837780,23168301,27,2023-10-23T09:30:00,"1200 Block Straka St Pittsburgh, PA 15204",N,Crafton Heights,6,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2814,2,5,-80.05616489252937,40.45017808532206
3160283,323839202,23168302,6,2023-10-22T10:00:00,"1500 Block Letort St Pittsburgh, PA 15212",N,Brighton Heights,1,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,2703,1,1,-80.03734249515784,40.48000107748024
3160284,323858126,23168362,6,2023-10-23T11:58:00,"5900 Block Centre Ave Pittsburgh, PA 15206",N,Shadyside,4,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,705,,,,
3160285,323861566,23168386,6,2023-10-23T00:01:00,"5500 Block Columbo St Pittsburgh, PA 15206",N,Garfield,5,THEFT,3921 Theft by Unlawful Taking or Disposition. / 4101 Forgery. / 3922 Theft by Deception.,1114,9,2,-79.9316706377201,40.46861414460346
3160286,324530445,23173776,0,2023-11-01T13:50:00,"200 Block Shady Ave Pittsburgh, PA 15206",N,Shadyside,4,99,9999 9999 - (Misc. Incident): ,708,5,3,-79.92063686162334,40.430036065319804
3160287,324759027,23176178,6,2023-11-05T23:06:00,"500 Block Mc Clintock Ave Pittsburgh, PA 15214",N,Perry South,1,THEFT FROM AUTO,3934 Theft from Vehicle,2614,,,,
3160288,323417650,23164448,0,2023-10-16T15:00:00,"3500 Block Elmhurst Ave Pittsburgh, PA 15212",N,Brighton Heights,1,99,9994 PFA Service,2701,1,1,-80.04443332831046,40.480569464759796
3160289,324127135,23170379,6,2023-10-26T16:50:00,"700 Block E Warrington Ave Pittsburgh, PA 15210",N,Allentown,3,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft. / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,1803,3,5,-79.99548870531873,40.421518980388285
3160290,324137014,23170502,0,2023-10-26T20:40:00,"Gearing Ave & Loyal Way Pittsburgh, PA 15210",N,Beltzhoover,3,99,9094 Recovered Stolen Vehicle (OUTSIDE CITY),1809,3,5,-80.00546349959517,40.41876658622719
3160291,324517985,23173670,0,2023-11-01T09:30:00,"300 Block 5th  Ave Pittsburgh, PA 15222",N,Central Business District,2,99,9999 9999 - (Misc. Incident): ,201,6,6,-80.00029037044739,40.440526190504364
3160292,324632877,23174591,0,2023-11-03T00:18:00,"100 Block Bausman St Pittsburgh, PA 15210",N,Knoxville,3,99,9994 PFA Service,3001,,,-79.98798440958119,40.41446289712673
3160293,324633839,23174279,0,2023-11-03T04:53:00,"100 Block Wabash St Pittsburgh, PA 15220",N,West End,6,99,9999 9999 - (Misc. Incident): ,2019,2,5,-80.03456004563895,40.438190895696124
3160294,-3637107363,23166275,6,2023-10-19T17:22:00,"5400 Block Walnut St Pittsburgh, PA 15232",N,Shadyside,4,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,703,8,2,-79.93546843810113,40.450646430444735
3160295,323722744,23166942,10,2023-10-20T21:07:00,"4700 Block Hatfield Ter Pittsburgh, PA 15201",N,Central Business District,2,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",201,,,,
3160296,323985253,23091814,3,2023-10-25T01:45:00,"Liberty Ave & 5th Ave Pittsburgh, PA 15222",Y,Central Business District,2,ROBBERY,3701 Robbery. / 2701 Simple Assault.,201,6,6,-80.0027036132909,40.44169647929672
3160297,324117405,23170252,6,2023-10-26T12:50:00,"600 Block Smithfield St Pittsburgh, PA 15222",Y,Central Business District,2,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft. / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,201,6,6,-79.99740883167522,40.441533222252524
3160298,324121531,23170274,6,2023-10-26T11:19:00,"600 Block Smithfield St Pittsburgh, PA 15222",Y,Central North Side,2,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft. / 4914 False Identification to Law Enforcement Authorities,201,6,6,-79.99740883167522,40.441533222252524
3160299,-3647010126,23162642,6,2023-10-13T07:45:00,"1700 Block Jane St Pittsburgh, PA 15203",N,South Side Flats,3,THEFT FROM AUTO,3934 Theft from Vehicle,1702,3,3,-79.98198023689191,40.426880679342375
3160300,323499552,23164914,6,2023-10-17T12:00:00,"700 Block N Homewood Ave Pittsburgh, PA 15208",Y,Homewood South,5,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 6106 Firearms not to be Carried without a License.,1303,9,2,-79.8966616632168,40.45562602516654
3160301,323615874,23165994,11,2023-10-19T09:00:00,"100 Block Blackhawk St Pittsburgh, PA 15218",N,Swisshelm Park,4,IDENTITY THEFT,4120 Identity Theft,1411,,,,
3160302,323869105,23168425,99,2023-10-23T10:00:00,"1200 Block Western Ave Pittsburgh, PA 15233",N,Chateau,1,DRUG INVESTIGATION,9124 Drug Investigation,2108,6,1,-80.0219684615574,40.4512177173984
3160303,323947830,23168963,14,2023-10-24T11:35:00,"500 Block Mt Pleasant Rd Pittsburgh, PA 15214",Y,Northview Heights,1,CRIM MISCHIEF,3304 Criminal Mischief.,2609,,,,
3160304,324248941,23171838,99,2023-10-29T01:10:00,"7th Ave & Smithfield St Pittsburgh, PA 15219",Y,Central Business District,2,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant / 3703 Driving Upon Sidewalk.,201,6,6,-79.99684402529861,40.442838204871606
3160305,324252723,23171916,3,2023-10-29T03:30:00,"S 18th St & Sidney St Pittsburgh, PA 15203",N,South Side Flats,3,ROBBERY,3701 Robbery. / 2702 Aggravated Assault. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3928 Unauthorized Use of Automobile and Other Vehicles.,1702,3,3,-79.98047172937527,40.429686856114635
3160306,323253873,23162719,11,2023-10-12T17:00:00,"400 Block Dinwiddie St Pittsburgh, PA 15219",N,Crawford-Roberts,2,CREDIT CARDS,4106 Access Device Fraud,305,6,3,-79.98047008611852,40.44238512636865
3160307,324205821,23171049,10,2023-10-27T20:00:00,"500 Block N Negley Ave Pittsburgh, PA 15206",N,Garfield,5,TERRORISTIC THREATS,2706 Terroristic Threats.,1114,9,2,-79.92772733738052,40.46781949813814
